Nivel	ID	Ano	Classe	Area
Estado	AP	2000	RLO	7.523082638595284
Estado	PA	2000	RLO	10.389732425674019
Estado	MA	2000	RLO	23.364301571568625
Estado	CE	2000	RLO	1.557785710657935
Estado	PI	2000	RLO	0.050675001953125
Estado	RN	2000	RLO	1.5371948002929687
Estado	PB	2000	RLO	0.19150719854281556
Estado	PE	2000	RLO	0.7756213239085478
Estado	AL	2000	RLO	0.11382205883789062
Estado	SE	2000	RLO	1.284167338378906
Estado	BA	2000	RLO	5.3686551835937495
Estado	ES	2000	RLO	0.11973275000000001
Estado	RJ	2000	RLO	0.2846799934666054
Estado	SP	2000	RLO	0.7352087582184437
Estado	PR	2000	RLO	0.8283934333333335
Estado	SC	2000	RLO	0.29799962387408085
Nacional	BR	2001	Total	205.86362
Regiao	1	2001	Total	30.068892214349700
Regiao	2	2001	Total	16.852986998437483
Regiao	3	2001	Total	65.88202713084785
Regiao	4	2001	Total	41.389555722656276
Regiao	5	2001	Total	22.6857512734375
Regiao	6	2001	Total	17.219019265625
Regiao	7	2001	Total	11.765388455652577
Estado	AP	2001	Total	38.57529898622097
Estado	PA	2001	Total	42.090102418382365
Estado	MA	2001	Total	64.95702989131433
Estado	PI	2001	Total	0.4814334511718751
Estado	CE	2001	Total	3.4441063585324763
Estado	RN	2001	Total	2.2305520350107226
Estado	PB	2001	Total	0.9913016514456952
Estado	PE	2001	Total	2.5360247738779096
Estado	AL	2001	Total	1.2303472539062499
Estado	SE	2001	Total	4.0142363332835505
Estado	BA	2001	Total	19.173236425306374
Estado	ES	2001	Total	0.9980798057770377
Estado	RJ	2001	Total	1.9817426155005369
Estado	SP	2001	Total	2.9558524681985294
Estado	PR	2001	Total	5.494340892715995
Estado	SC	2001	Total	1.6549151040709251
Nacional	BR	2001	Aquic	0.3249023
Regiao	1	2001	Aquic	0
Regiao	2	2001	Aquic	0
Regiao	3	2001	Aquic	0
Regiao	4	2001	Aquic	0.1354668828125
Regiao	5	2001	Aquic	0.1894353984375
Regiao	6	2001	Aquic	0
Regiao	7	2001	Aquic	0
Estado	AP	2001	Aquic	0.0
Estado	PA	2001	Aquic	0.0
Estado	MA	2001	Aquic	0.0
Estado	CE	2001	Aquic	0.05967516992187499
Estado	PI	2001	Aquic	0.025338734375
Estado	RN	2001	Aquic	0.2691986821289062
Estado	PB	2001	Aquic	0.0
Estado	PE	2001	Aquic	0.0
Estado	AL	2001	Aquic	0.0
Estado	SE	2001	Aquic	0.004382559082031249
Estado	BA	2001	Aquic	0.0
Estado	ES	2001	Aquic	0.0
Estado	RJ	2001	Aquic	0.0
Estado	SP	2001	Aquic	0.0
Estado	PR	2001	Aquic	0.0
Estado	SC	2001	Aquic	0.0
Nacional	BR	2001	Resti	8.018295
Regiao	1	2001	Resti	0
Regiao	2	2001	Resti	0
Regiao	3	2001	Resti	0
Regiao	4	2001	Resti	0
Regiao	5	2001	Resti	0.4683531953125
Regiao	6	2001	Resti	2.5722161406249997
Regiao	7	2001	Resti	4.977725226562501
Estado	AP	2001	Resti	0.0
Estado	PA	2001	Resti	0.0
Estado	MA	2001	Resti	0.0
Estado	CE	2001	Resti	0.0
Estado	PI	2001	Resti	0.0
Estado	RN	2001	Resti	0.0
Estado	PB	2001	Resti	0.0
Estado	PE	2001	Resti	0.0
