year	region	arealost_mapbiomas	arealost_gfc
2017	calcanhar	23.5117112734375	24.597554828125
2017	antonio	20.951668250000004	102.77129030545343
2017	frio	33.92944275390625	8.383948027343749
2018	orange	1.286466742675781	1.2421734375
2018	norte	0.32548601757812495	0.1118983623046875
2018	coruca	13.405225721679685	6.018650859823071
2018	secos	9.000460968750001	18.987076033547805
2018	calcanhar	7.873782437499999	5.514865164062501
2018	antonio	7.232112687499999	37.34987025140931
2018	frio	5.7695837421875	0.33071893750000003
2019	orange	1.2499455229492187	2.6086274033203134
2019	norte	0.3153272734375	0.3458960947265627
2019	coruca	16.764564240310968	6.475706343749998
2019	secos	11.17044458203125	13.384674293658087
2019	calcanhar	7.3138552968749995	3.1784595234374997
2019	antonio	8.428248109313726	12.608744624999996
2019	frio	6.11247364453125	1.5322968203124996
2020	orange	62.928269327148485	2.0477725273437497
